point,gxxx,gxxy,gxxz,gxyz,gyyx,gyyy,gyyz,gzzx,gzzy,gzzz,size,ratio
39,4.41516604825e-06,4.07634605866e-21,2.39117687158e-06,6.00533124713e-22,1.32376298416e-05,7.09390093325e-21,1.32356148607e-06,1.76527958899e-05,4.34104385468e-21,3.71473835766e-06,30.0,0.0
40,2.03748505034e-06,1.07996700775e-20,1.11139302276e-06,1.11173074327e-21,3.08578584764e-07,4.87043944671e-21,4.4759655456e-07,2.3460636351e-06,3.70576914424e-21,1.55898957732e-06,30.0,0.0
41,2.04094609485e-06,2.46098015297e-07,1.10485631495e-06,2.32795573309e-08,2.82788972954e-07,1.76962399035e-07,4.51387810613e-07,2.3237350678e-06,6.91356162625e-08,1.55624412556e-06,30.0,0.0
42,1.8086548626e-06,6.37127710369e-07,1.08040356246e-06,4.40708375293e-08,4.3640087341e-07,5.08514184172e-07,4.67733539727e-07,2.24505573601e-06,1.28613526197e-07,1.54813710219e-06,30.0,0.0
43,1.15449279779e-06,8.02692725237e-07,1.03952404488e-06,4.67653461762e-08,9.64366197555e-07,6.67923410574e-07,4.97452833756e-07,2.11885899535e-06,1.34769314663e-07,1.53697687864e-06,30.0,0.0
44,5.25234176544e-07,3.75168793557e-07,1.00582507888e-06,2.04389839297e-08,1.4914713868e-06,3.16604378719e-07,5.22802595098e-07,2.01670556335e-06,5.85644148377e-08,1.52862767398e-06,30.0,0.0
45,5.25234176544e-07,3.75168793557e-07,1.00582507888e-06,2.04389839297e-08,1.4914713868e-06,3.16604378719e-07,5.22802595098e-07,2.01670556335e-06,5.85644148377e-08,1.52862767398e-06,30.0,0.0
46,1.15449279779e-06,8.02692725237e-07,1.03952404488e-06,4.67653461762e-08,9.64366197555e-07,6.67923410574e-07,4.97452833756e-07,2.11885899535e-06,1.34769314663e-07,1.53697687864e-06,30.0,0.0
47,1.8086548626e-06,6.37127710369e-07,1.08040356246e-06,4.40708375293e-08,4.3640087341e-07,5.08514184172e-07,4.67733539727e-07,2.24505573601e-06,1.28613526197e-07,1.54813710219e-06,30.0,0.0
48,2.04094609485e-06,2.46098015297e-07,1.10485631495e-06,2.32795573309e-08,2.82788972954e-07,1.76962399035e-07,4.51387810613e-07,2.3237350678e-06,6.91356162625e-08,1.55624412556e-06,30.0,0.0
49,2.03748505034e-06,4.79764755281e-22,1.11139302276e-06,1.81152554149e-22,3.08578584764e-07,1.11173074327e-21,4.4759655456e-07,2.3460636351e-06,7.94093388051e-23,1.55898957732e-06,30.0,0.0
50,2.32357327581e-06,3.28225267061e-21,1.09407834495e-06,1.19114008208e-22,1.22618329923e-06,3.28225267061e-21,3.1051080347e-07,1.09738997658e-06,5.82335151237e-22,1.40458914842e-06,30.0,0.0
51,2.33790935665e-06,4.97694823321e-08,1.09301247233e-06,2.30902615451e-09,1.23912582468e-06,4.45875922521e-08,3.11403194856e-07,1.09878353197e-06,5.18189008005e-09,1.40441566718e-06,30.0,0.0
52,2.37569052804e-06,7.80114519751e-08,1.0902726749e-06,3.58342239796e-09,1.27331293419e-06,6.99950508448e-08,3.13700674848e-07,1.10237759384e-06,8.01640113031e-09,1.40397334975e-06,30.0,0.0
53,2.42121882282e-06,7.03537235523e-08,1.0870860842e-06,3.19684594524e-09,1.31464060448e-06,6.32271740662e-08,3.16378984987e-07,1.10657821835e-06,7.12654948613e-09,1.40346506919e-06,30.0,0.0
54,2.45239781553e-06,2.82344239626e-08,1.0849656038e-06,1.27426285315e-09,1.34301290491e-06,2.54001236718e-08,3.18164677791e-07,1.10938491062e-06,2.83430029075e-09,1.40313028159e-06,30.0,0.0
55,2.45239781553e-06,2.82344239626e-08,1.0849656038e-06,1.27426285315e-09,1.34301290491e-06,2.54001236718e-08,3.18164677791e-07,1.10938491062e-06,2.83430029075e-09,1.40313028159e-06,30.0,0.0
56,2.42121882282e-06,7.03537235523e-08,1.0870860842e-06,3.19684594524e-09,1.31464060448e-06,6.32271740662e-08,3.16378984987e-07,1.10657821835e-06,7.12654948613e-09,1.40346506919e-06,30.0,0.0
57,2.37569052804e-06,7.80114519751e-08,1.0902726749e-06,3.58342239796e-09,1.27331293419e-06,6.99950508448e-08,3.13700674848e-07,1.10237759384e-06,8.01640113031e-09,1.40397334975e-06,30.0,0.0
58,2.33790935665e-06,4.97694823321e-08,1.09301247233e-06,2.30902615451e-09,1.23912582468e-06,4.45875922521e-08,3.11403194856e-07,1.09878353197e-06,5.18189008005e-09,1.40441566718e-06,30.0,0.0
59,2.32357327581e-06,2.11758236814e-22,1.09407834495e-06,1.12496563307e-22,1.22618329923e-06,5.55865371636e-22,3.1051080347e-07,1.09738997658e-06,3.1763735522e-22,1.40458914842e-06,30.0,0.0
60,2.13748521833e-05,3.13402190484e-20,2.76957673741e-06,1.64112633531e-21,6.0789947454e-06,1.94817577868e-20,2.04882734388e-07,1.52958574379e-05,6.77626357803e-21,2.9744594718e-06,30.0,0.0
61,2.11703441438e-05,5.67921013866e-07,2.76137509954e-06,1.89118748885e-08,5.92873206458e-06,4.55720360544e-07,2.09777484954e-07,1.52416120792e-05,1.12200653321e-07,2.9711525845e-06,30.0,0.0
62,2.0577998586e-05,9.51502231545e-07,2.73900844519e-06,3.06201289097e-08,5.48313713053e-06,7.70438869286e-07,2.23398407145e-07,1.50948614555e-05,1.8106336226e-07,2.96240685234e-06,30.0,0.0
63,1.97774717688e-05,9.16524986861e-07,2.71083468564e-06,2.85473429762e-08,4.86560687528e-06,7.48268032274e-07,2.40986226551e-07,1.49118648935e-05,1.68256954586e-07,2.95182091219e-06,30.0,0.0
64,1.91840385977e-05,3.82158020273e-07,2.69090469318e-06,1.16861596515e-08,4.4006991223e-06,3.13409691658e-07,2.53644415393e-07,1.47833394754e-05,6.87483286147e-08,2.94454910857e-06,30.0,0.0
65,1.91840385977e-05,3.82158020273e-07,2.69090469318e-06,1.16861596515e-08,4.4006991223e-06,3.13409691658e-07,2.53644415393e-07,1.47833394754e-05,6.87483286147e-08,2.94454910857e-06,30.0,0.0
